S.No,Scheme ID,Scheme Name,District,Block,T/W Vendor,No Of T/W,Drilling Depth,Pin-Point Date,Drilling Status,T/W Drill Start Date,T/W Drill End Date,T/W Logging Status,Logging Date,T/W Assembly Qty. (in nos.),T/W Assembly Size (mm),T/W Lowering Status,T/W Lowering Date,Gravel Requirement (Cum),T/W Gravel Status,Compressor Size Required (PSI),Compressor Hours Required,T/W Compressor Status,Compressor Completion Date,OP Unit Size (Cusec),OP Unit Hours,T/W OP Status,OP Unit Completion Date,Water Sample Status,Water Sample Approval Date,Remark,No of OHT,OHT Capacity (KL),Staging (m),SBC Vendor,SBC Sample Status,SBC Report Status,SBC Value,OHT Design Vendor,Design Approval Status,Drawing Availability Status,OHT Vendor,OHT Excavation Status,OHT PCC Status,OHT Footing Status,OHT Column Casting Status ,OHT Bracing Status,OHT Top Dome Casting Status,OHT Lower Dome Status,OHT Platform Casting Status,ZA Tank Installation Status,OHT Pipe Work Status,OHT Hydrostatic Test,No. of Pumps,Pump Capacity,Pump Head,Pumping Plant (LPM),Rising Main (m),Power Capacity,Power Source,DG Capacity (KVA),Pump House Vendor,Pump House Excavation Status,P/H PCC Base Status,P/H RCC Status,P/H Plastering Status,P/H Flooring Status,Pump Lowering Status,Pump House EM Work Status,Distribution Network Vendor Name,Distribition System Length,D/N Excavation Status,D/N Excavation (m),D/N Pipe Laying Status,D/N Pipe Laying (m),D/N Road Restoration Status,No of FHTC to be Installed,FHTC Installation Count,Boundary Wall Vendor Name,B/W Layout Demarcation Status,B/W Excavation Status,PCC Work Status,B/W Brick Work Status,B/W Column Casting Status,B/W Gate Installation Status
264,20092005,Semaur,Ghazipur,Jakhania,,1,120,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,38,Not Available,250,60,Not Available,Not Started,1,120,Not Available,Not Started,To be taken,Not Approved,,1,100,12,Eagle,Collected,Submitted,8.2,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,10,41,380,40,13,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,13092,Not Started,,Not Started,,Not Started,355,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
265,20092007,Kishunpura,Ghazipur,Jakhania,,1,120,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,38,Not Available,250,60,Not Available,Not Started,0.5,120,Not Available,Not Started,To be taken,Not Approved,,1,75,12,Eagle,Collected,Submitted,8.89,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,41,280,40,13,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,8632,Not Started,,Not Started,,Not Started,278,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
266,20092010,Dhamraav,Ghazipur,Jakhania,,1,120,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,38,Not Available,250,60,Not Available,Not Started,0.5,120,Not Available,Not Started,To be taken,Not Approved,,1,75,12,Eagle,To be taken,Awaited,,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,41,280,40,13,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,6295,Not Started,,Not Started,,Not Started,262,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
267,20092013,Sadar Jahanpur,Ghazipur,Jakhania,,1,120,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,38,Not Available,250,60,Not Available,Not Started,1,120,Not Available,Not Started,To be taken,Not Approved,,1,175,12,Eagle,Collected,Submitted,8.99,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,41,580,40,20,Solar,25,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,11192,Not Started,,Not Started,,Not Started,437,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
268,20092016,Sultanipur & Souphi Pur,Ghazipur,Jakhania,,1,120,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,300X300,Not Started,Not Started,38,Not Available,250,60,Not Available,Not Started,0.5,120,Not Available,Not Started,To be taken,Not Approved,,1,100,12,Eagle,Collected,Submitted,9.06,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,12.5,42,260,40,10,Electricity,0,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,12156,Not Started,,Not Started,,Not Started,423,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
269,20092020,Vijval,Ghazipur,Saidpur,,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,81,Not Available,600,60,Not Available,Not Started,0.5,120,Not Available,Not Started,To be taken,Not Approved,,1,50,12,Vertizontal,Collected,Submitted,12.24,ATLC,Not Started,Not Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,41,150,40,8,Electricity,0,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,9786,Not Started,,Not Started,,Not Started,284,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
270,20092023,Vikhaepur,Ghazipur,Deokali,,1,220,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X200,Not Started,Not Started,69,Not Available,600,60,Not Available,Not Started,1,120,Not Available,Not Started,To be taken,Not Approved,,1,150,12,Manohar,Collected,Submitted,9.59,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,5,39,500,30,16,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,10650,Not Started,,Not Started,,Not Started,373,Not Started,Shakti Infra Pvt Ltd  ,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
271,20092028,Baswari,Ghazipur,Mardah,,1,360,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,80,Not Available,600,60,Not Available,Not Started,0.5,100,Not Available,Not Started,To be taken,Not Approved,,1,125,14,Shah & Pant,Collected,Submitted,8,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,10,41,440,35,13,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,7712,Not Started,,Not Started,,Not Started,430,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
272,20092031,Khajur Gaon,Ghazipur,Mardah,,2,360,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,2,200X150,Not Started,Not Started,194,Not Available,600,120,Not Available,Not Started,1,240,Not Available,Not Started,To be taken,Not Approved,,1,250,14,Shah & Pant,Collected,Submitted,10,Troynoya,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,40,829,35,32,Solar,"15, 15",,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,14237,Not Started,,Not Started,,Not Started,649,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
273,20092032,Bahtura,Ghazipur,Mardah,,1,360,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,80,Not Available,600,60,Not Available,Not Started,0.5,100,Not Available,Not Started,To be taken,Not Approved,,1,150,12,Shah & Pant,Collected,Submitted,9,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,2,10,44,520,35,16,Solar,15,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,8581,Not Started,,Not Started,,Not Started,498,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
274,20092034,Govindpur,Ghazipur,Varachavar,Bajrang Bali Group,1,360,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,97,Not Available,600,60,Not Available,Not Started,0.5,100,Not Available,Not Started,To be taken,Not Approved,,1,100,18,Manohar,Collected,Awaited,,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,10,39,300,30,10,Electricity,0,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,18834,Not Started,,Not Started,,Not Started,585,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
275,20092037,Itaha,Ghazipur,Saidpur,,1,300,Not Found,Not Started,Not Started,Not Started,Not Started,Not Started,1,200X150,Not Started,Not Started,80.3,Not Available,600,60,Not Available,Not Started,1,120,Not Available,Not Started,To be taken,Not Approved,,1,175,14,Vertizontal,Collected,Awaited,,ATLC,Approved,Available,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,1,7.5,46,550,35,20,Solar,20,,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,11331,Not Started,,Not Started,,Not Started,437,Not Started,,Not Started,Not Started,Not Started,Not Started,Not Started ,Not Started
